Award,award_1,award_2,extra_1,extra_2,authors,paper,DOI
VizSec 2020 Best Paper Award,VizSec 2020 Best Paper Award,,Presented to,,"Marija Schufrin, Steven Lamarr Reynolds, Arjan Kuijper, Jörn Kohlhammer","A Visualization Interface to Improve the Transparency of Collected
Personal Data on the Internet",https://virtual.ieeevis.org/paper_a-vizsec-1011.html
VizSec 2020 Best Paper Award,VizSec 2020 Best Poster Award ,,Presented to,,(keep blank),(keep blank),
VAST Best Poster Research Award,VAST Best Poster Research Award,,Presented To:,,"Huan He, Irbaz Bin Riaz, Syed Arsalan Ahmed Naqvi, Rabbia Siddiqi, M. Hassan Murad, Hongfang Liu",Visual Exploration of Network Meta-Analysis Data,
VAST Honorable Mention Poster Research Award,VAST Honorable Mention Poster Research Award,,Presented To:,,"Jon Saad-Falcon, Omar Shaikh,
Zijie J. Wang, Austin P Wright, Sasha Richardson, Duen Horng Chau",Mapping Researchers with PeopleMap,
InfoVis Best Poster Research Award ,InfoVis Best Poster Research Award ,,Presented to,,"Aditeya Pandey, Sehi L’Yi, Nils Gehlenborg",Towards a Knowledge-Based Recommendation System for Genomics Visualization,
InfoVis Honorable Mention Poster Research Award (2 of 3),InfoVis Honorable Mention Poster Research Award,,Presented to,,"Laura South, Michelle A. Borkin",Generating Seizure-Inducing Sequences with Interactive Visualizations,
InfoVis Honorable Mention Poster Research Award (3 of 3),InfoVis Honorable Mention Poster Research Award,,Presented to,,"Andrew M McNutt, Gordon L Kindlmann",A Minimally Constrained Optimization Algorithm for Table Cartograms,
SciVis Best Poster Research Award,SciVis Best Poster Research Award,,Presented To:,,"Claire E Weissman, Bridger Herman, Stephanie Zeller, Francesca Samsel, Daniel F. Keefe",Automatic Generation of Data Legends for 3D Multi-Variate Artist Driven Visualizations,
SciVis Contest 2020,SciVis Contest 2020 Winner,,Presented To:,,"Hennes Rave, Johannes Fincke, Steffen Averkamp, Lehmensiek H. N. Tague, Beate Tangerding, Luca Wehrenberg, Tim Gerrits, Karim Huesmann, Simon Leistikow, Lars Linsen",Interactive Visual Analysis of Oceanographic Simulation Ensemble Data,
SciVis Contest 2020 Honorable Mention,SciVis Contest 2020 Honorable Mention,,Presented To:,,"Sedat Ozer, Karen Bemis, Weiping Hua, Arda Goktogan, Melike Aydoğan, Kevin Guo, Dujuan Kang, Li Liu, Deborah Silver","The Use of 3D Optical Flow, Feature-Tracking and Token-Tracking Petri Nets to Analyze and Visualize Multiple Scales of Ocean Eddies",
VGTC Outstanding Dissertation Award,VGTC Outstanding Dissertation Award,,Presented to,,Dominik Moritz,Interactive Systems for Scalable Visualization and Analysis,
VGTC Outstanding Dissertation Honorable Mention,VGTC Outstanding Dissertation Honorable Mention,,Presented to,,Emily Wall,Detecting and Mitigating Human Bias in Visual Analytics,
VGTC Outstanding Dissertation Honorable Mention,VGTC Outstanding Dissertation Honorable Mention,,Presented to,,Carolina Nobre,Visualizing Multivariate Networks,
Visualization in Astrophysics: Data Challenge Certificate,Visualization in Astrophysics: Data Challenge Certificate,,Presented to,,(keep blank),(keep blank),
VAST Challenge Certificate (1 of 8),VAST Challenge Certificate,,Presented to,,"Natkamon Tovanich, Alexis Pister, Gaëlle Richer, Paola Valdivia, Jean-Daniel Fekete, Christophe Prieur, and Petra Isenberg",Mini-Challenge 1 Award: Outstanding Comprehensive Mini-Challenge 1 Solution,
VAST Challenge Certificate (2 of 8),VAST Challenge Certificate,,Presented to,,"Falko Schulz, Matthew Galati, Steven Harenberg, Don Chapman, Rajiv Ramarajan, and Jordan Riley Benson",Mini-Challenge 1 Honorable Mention: Clear Articulation of Analytical Process,
VAST Challenge Certificate (3 of 8),VAST Challenge Certificate,,Presented to,,"David Englert, Pablo Martinez Blasco, Eren Cakmak, Udo Schlegel, Juri Buchmüller, and Prof. Dr. Daniel A. Keim",Mini-Challenge 1 Honorable Mention: Custom Tool Supporting Visual Comparison,
VAST Challenge Certificate (4 of 8),VAST Challenge Certificate,,Presented to,,"Luyu Cheng, Bairui Su, Yumeng Xue, Xiaoyu Liu, and Yunhai Wang",Mini-Challenge 1 Honorable Mention: Streamlined Analysis Process,
VAST Challenge Certificate (5 of 8),VAST Challenge Certificate,,Presented to,,"Shichao Jia, Zeyu Li, and Jiawan Zhang",Mini-Challenge 2 Award: Strong Visual Design to Support Classification and Task-Focused Filtering,
VAST Challenge Certificate (6 of 8),VAST Challenge Certificate,,Presented to,,"Huyen N. Nguyen, Jake Gonzalez, Jian Guo, Ngan V.T. Nguyen, and Tommy Dang",Mini-Challenge 2 Honorable Mention: Detailed Analysis of Patterns of Misclassification,
VAST Challenge Certificate (7 of 8),VAST Challenge Certificate,,Presented to,,"Jinbin Huang, Aditi Mishra, Anjana Arunkumar, and Dr. Chris Bryan",Mini-Challenge 2 Honorable Mention: Effective Use of Visual Encodings for Correcting Classification Errors,
VAST Challenge Certificate (8 of 8),VAST Challenge Certificate,,Presented to,,"Prince Owusu Attah, Lu Ding, Xiaolei Guo, Tianyi Zhang, Weiyue Deng, Xuan Thao Nguyen, Yunran Ju, Dr. Jieqiong Zhao, Dr. Chen Guo, Dr. Zhenyu Cheryl Qian, and Dr. Yingjie Victor Chen",Mini-Challenge 3 Award: Effective Transformation of Task Decomposition into Conceptual Design,
